Title,Country,Quantity Required,Payment Terms,Destination,Looking for Suppliers From,Product Description,Contact Name,Verified Status,Date
Wanted : Wheat,Egypt,"25,000 Tons",N/A,N/A,N/A,"Please provide a quotation to the following requirement from importer -

Product: Wheat

Specifications:
for animal feed

Quantity Required : 25000 Ton/Tons

Shipping Terms : CIF

Destination Port : Alexandria Port, Egypt

Payment Terms : LC

Looking for suppliers from : Worldwide

Contact : Walaa Elsaady",Walaa Elsaady,N/A,Jan-30-23
Wanted : Wheat,Egypt,Not specified,N/A,N/A,N/A,"Please quote for the following wholesale product requirement -

Product Name: Wheat

Specifications:
For Animal And Human Consumption

Quantity Required : MOQ

Shipping Terms : CIF

Destination Port : Egypt

Payment Terms : LC

Looking for suppliers from : Worldwide

Contact : Mohamed Yousef",Mohamed Yousef,N/A,Aug-07-23
Wanted : Durum Wheat And Soft Wheat,"Ismailia, Egypt","1,000,000 Metric Tons",N/A,N/A,N/A,"Please quote for the following wholesale product requirement -

Product: Durum Wheat And Soft Wheat

Specifications:
Prefer Origin Ukraine, Kazakhstan Or Uzbekistan,
Quantity: 1 million mt yearly EACH

Quantity Required : 1000000 Metric Ton/Metric Tons Yearly

Shipping Terms : FOB

Destination Port : Other-Not Shown

Payment Terms : LC

Looking for suppliers from : Worldwide

Contact : Mohamed Shwaiter",Mohamed Shwaiter,N/A,Oct-19-23
Wanted : Wheat,Egypt,"1,000,000 Tons",N/A,N/A,N/A,"Please quote for the following wholesale product requirement -

Product Name: Wheat

Quantity Required : 1000000 Ton/Tons

Shipping Terms : CIF

Destination Port : Egypt

Payment Terms : 100% L/C

Looking for suppliers from : Worldwide

Contact : Marwa",Marwa,N/A,Aug-24-22
Wanted : Wheat,Egypt,"200,000 Tons",N/A,N/A,N/A,"Buyer is interested to receive quotations for the following RFQ -

Product Name: Wheat

Specifications :
Wheat Purity: 99% Hectolitre - 79gr/l Admixture (Plant Origin): Max.1%
Broken Seeds: Max 2%
Humidity: Max.11,4%
Gluten: 31,7%
Protein: 14.9%
W Joule: 310

Quantity Required : 200000 Ton/Tons

Shipping Terms : CIF

Destination Port : Egypt

Payment Terms : L/C

Looking for suppliers from : Russia, Bulgaria, Poland, Romania

Contact : Saied ElBakry",Saied ElBakry,N/A,Feb-19-24
Wanted : Wheat,"Ismailia, Egypt","50,000 - 200,000 Metric Tons",N/A,N/A,N/A,"Please quote for the following wholesale product requirement -

Product Name: Wheat

Specifications :
Specs Proteine Min. 13%
Moisture Max: 14%
Gluten: 27/28%
Test Weight 77 KG/HL
Foreign Matter Max. 2%
W 250+/-10%

Quantity Required : 50000 - 200000 Metric Ton/Metric Tons Monthly

Shipping Terms : CIF

Destination Port : Turkey And Iraq,

Payment Terms : SBLC & MT103

Looking for suppliers from : Worldwide

Contact : Mohamed Ibrahim",Mohamed Ibrahim,N/A,Feb-17-23
Wanted : Wheat,Mauritius,1 Twenty-Foot Container,N/A,N/A,N/A,"Buyer is interested to receive quotations for the following RFQ -

Product Name: Wheat

Specifications :
Type: Whole Wheat Grain
Packaging Terms : 25 Kg Bulk

Quantity Required : 1 Twenty-Foot Container

Shipping Terms : CIF

Destination Port : Mauritius

Payment Terms : Bank Transfer

Looking for suppliers from : Worldwide

Contact : Anwar Teemul",Anwar Teemul,N/A,Dec-08-23
Wanted : Wheat,"Giza, Egypt","100,000 Metric Tons",N/A,N/A,N/A,"Please quote for the following wholesale product requirement -

Product Name: Wheat

Specifications :
For Human Use

Quantity Required : 100000 Metric Ton/Metric Tons

Shipping Terms : CIF

Destination Port : Alexandria Port,, Egypt

Payment Terms : L/C

Looking for suppliers from : Worldwide

Contact : Saif Samy",Saif Samy,N/A,Dec-18-23
Wanted : Wheat,Egypt,"2,000 Tons",N/A,N/A,N/A,"The buyer would like to receive quotations for -

Product Name: Wheat

Quantity Required : 2000 Ton/Tons

Shipping Terms : CIF

Destination Port : Sokhna Port, Egypt

Payment Terms : L/C

Looking for suppliers from : Worldwide

Contact : Mohamad Salah Eldin",Mohamad Salah Eldin,N/A,Mar-13-23
Wanted : Milling Wheat,Egypt,"12,500 - 25,000 Metric Tons",N/A,N/A,N/A,"Buyer is interested to receive quotations for the following RFQ -

Product: Milling Wheat
Packaging Terms : in Break bulk vessel either bulk or bags packing

Quantity Required : 12500 - 25000 Metric Ton/Metric Tons

Shipping Terms : CIF

Destination Port : Damietta Port In Break Bulk Vessel, Egypt

Payment Terms : LC

Looking for suppliers from : Worldwide

Contact : Shabbir Bhanpurawal",Shabbir Bhanpurawal,N/A,Jul-12-22
